UID,recency,frequency,monetary_value,R_Mean,F_Mean,M_Mean,Score,Rank
45275352,271.91980324074075,3,1300,1,1,1,111,1
45275900,66.7604861111111,2,550,1,1,1,111,1
45278824,276.4993402777778,4,2000,1,1,0,110,2
45279386,408.23041666666666,3,950,1,1,1,111,1
45279547,247.11853009259258,8,3200,1,0,0,100,5
45283690,581.3004166666667,1,500,1,1,1,111,1
45285270,276.48576388888887,4,1850,1,1,0,110,2
45285409,22.21534722222222,7,2800,0,0,0,000,8
45288350,320.80929398148146,13,5550,1,0,0,100,5
45288830,47.98083333333334,1,150,0,1,1,011,4
45289945,26.832395833333333,12,5350,0,0,0,000,8
45291432,24.694131944444443,40,7760,0,0,0,000,8
45292038,271.94179398148145,3,1300,1,1,1,111,1
45292262,53.697094907407404,7,1900,1,0,0,100,5
45301985,2.2646296296296295,13,3450,0,0,0,000,8
45302200,15.598136574074074,11,1600,0,0,1,001,7
45304825,24.217418981481483,15,2850,0,0,0,000,8
45306468,52.83971064814815,20,5250,1,0,0,100,5
45308206,5.586585648148148,8,3050,0,0,0,000,8
45318287,1.6712152777777778,1,300,0,1,1,011,4
45319684,346.7288541666667,2,1000,1,1,1,111,1
45320229,52.79398148148148,11,3650,1,0,0,100,5
45321112,49.83579861111111,2,300,0,1,1,011,4
45321347,44.017349537037035,6,650,0,1,1,011,4
45321553,42.66009259259259,3,1500,0,1,1,011,4
45322020,316.5351273148148,2,200,1,1,1,111,1
45323052,10.689305555555556,23,5500,0,0,0,000,8
45323204,20.080150462962962,9,4500,0,0,0,000,8
45323417,21.931770833333335,16,4295,0,0,0,000,8
45323460,26.26121527777778,4,2000,0,1,0,010,6
45323732,131.9163888888889,9,3500,1,0,0,100,5
45324249,594.0317708333333,2,1000,1,1,1,111,1
45326689,36.37039351851852,4,1300,0,1,1,011,4
45326825,346.9099074074074,1,500,1,1,1,111,1
45327226,10.907326388888889,86,15500,0,0,0,000,8
45327333,50.15800925925926,34,8800,1,0,0,100,5
45327585,40.70854166666667,15,750,0,0,1,001,7
45328905,12.777037037037037,17,6050,0,0,0,000,8
45329514,624.0015856481482,1,500,1,1,1,111,1
45329773,19.955636574074074,1,150,0,1,1,011,4
45329807,0.6309953703703703,1,300,0,1,1,011,4
45330305,44.31087962962963,11,3700,0,0,0,000,8
45330378,17.064664351851853,18,9000,0,0,0,000,8
45330653,43.983159722222226,37,13640,0,0,0,000,8
45330798,331.6608796296296,7,3500,1,0,0,100,5
45330799,52.824108796296294,6,1050,1,1,1,111,1
45331398,26.767627314814813,1,300,0,1,1,011,4
45333766,131.71144675925925,6,3100,1,1,0,110,2
45334038,6.161550925925926,14,3700,0,0,0,000,8
45334151,72.45313657407408,2,1000,1,1,1,111,1
45335433,48.726898148148145,13,6250,0,0,0,000,8
45335469,107.0503125,16,7150,1,0,0,100,5
45336043,39.445914351851854,41,9900,0,0,0,000,8
45336067,141.05550925925925,3,1300,1,1,1,111,1
45336398,87.83773148148148,2,1000,1,1,1,111,1
45336488,527.9603472222223,2,650,1,1,1,111,1
45336714,527.9835648148148,2,650,1,1,1,111,1
45338178,42.01788194444445,9,4100,0,0,0,000,8
45338220,52.74248842592593,3,1500,1,1,1,111,1
